Date,Open,High,Low,Close,Volume
2024-01-02,121.871,122.614,117.812,118.951,475373.24396983
2024-01-03,118.703,118.951,114.644,116.03,649641.44760554
2024-01-04,116.822,117.317,114.05,115.09,715492.64518871
2024-01-05,114.842,115.535,112.516,114.694,501019.19155146
2024-01-08,114.842,114.842,112.169,113.803,420830.90929032
2024-01-09,114.743,115.436,113.06,113.357,302840.35888257
2024-01-10,113.308,113.654,110.981,111.328,488067.9375187
2024-01-11,112.961,113.11,109.496,109.744,735350.83067334
2024-01-12,110.882,111.724,109.595,109.942,411632.10485448
2024-01-15,110.783,111.08,107.714,108.061,657039.27825099
2024-01-16,107.912,109.942,107.269,109.199,515462.33469717
2024-01-17,107.813,107.912,104.744,104.843,1088825.5222191
2024-01-18,106.922,106.922,104.744,104.942,548556.61695651
2024-01-19,106.427,107.219,105.437,106.031,406417.05848332
2024-01-22,106.972,107.417,104.348,104.695,529464.07260094
2024-01-23,106.031,107.615,104.645,107.021,572098.56655418
2024-01-24,109.199,113.258,109.1,111.872,1025874.2661683
2024-01-25,111.872,112.466,109.991,110.734,552616.13106957
2024-01-26,110.14,113.06,109.397,112.219,421183.4274355
2024-01-29,112.219,112.813,111.278,112.417,306232.20968916
2024-01-30,112.565,112.664,109.942,109.942,507357.44760009
2024-01-31,110.09,111.674,109.397,111.328,416672.40727403
